gene_name	Spring_1	Spring_2	Spring_3	Spring_4	tHIO_1	tHIO_2	tHIO_3	Infant_1	Adult_1	Adult_2	Adult_3
FLJ13224	6	3	3	1	1	3	5	2	0	1	3
FLJ14107	2	0	1	0	0	0	0	0	0	0	1
FLJ14186	40	8	57	42	8	26	42	74	48	77	50
FLJ16171	0	0	0	0	0	0	0	0	0	0	0
FLJ16341	0	0	0	0	0	0	0	0	0	0	1
FLJ16779	12	5	35	19	12	22	25	27	1	3	0
FLJ20021	76	139	66	33	56	65	69	57	87	45	52
FLJ20518	0	0	0	0	0	0	0	0	0	0	0
FLJ21408	0	0	2	0	1	0	0	0	6	4	1
FLJ22184	29	18	29	14	19	16	33	37	8	8	6
FLJ22447	1	0	0	0	0	0	0	0	4	5	5
FLJ22763	329	730	508	430	55	445	82	134	1042	642	2020
FLJ23152	6	0	1	0	0	0	3	5	1	3	1
FLJ23867	436	97	221	161	84	95	195	243	261	287	266
FLJ25328	0	0	0	0	0	0	0	0	0	0	0
FLJ25363	0	0	0	0	0	0	0	0	0	0	0
FLJ25758	0	0	0	0	0	0	0	0	0	0	0
FLJ26245	0	0	0	0	0	0	0	0	0	0	0
FLJ26850	0	1	0	1	0	0	1	0	1	1	1
FLJ27352	18	27	7	11	10	6	15	15	10	18	19
FLJ27354	4	5	1	2	2	4	0	16	3	1	4
FLJ30403	16	7	15	7	4	4	8	21	22	15	15
FLJ30679	1	0	0	0	1	0	0	0	0	0	1
FLJ30838	1	1	3	2	0	2	4	5	3	0	2
FLJ31306	457	284	509	279	106	260	280	456	527	404	367
FLJ31485	66	21	63	76	21	115	70	102	19	26	8
FLJ31662	0	0	0	0	0	0	0	0	0	0	0
FLJ31813	4	7	4	9	1	4	5	12	4	2	2
FLJ32063	0	0	0	0	0	0	0	0	0	0	0
FLJ32224	3	0	0	0	6	3	4	6	1	2	6
FLJ33065	14	29	5	10	5	10	12	11	10	8	19
FLJ33360	1	2	2	1	0	4	0	1	2	6	0
FLJ33534	0	1	0	0	0	0	0	0	0	0	0
FLJ33581	2	0	0	0	0	0	0	0	0	0	0
FLJ33630	105	72	69	55	37	47	51	158	118	109	128
FLJ34208	0	0	0	0	0	0	0	8	5	1	9
FLJ34503	4	0	1	2	1	0	0	1	1	3	0
FLJ34690	0	0	0	0	1	0	1	1	0	0	0
FLJ35024	1	2	2	4	2	0	1	2	0	0	0
FLJ35282	1	1	1	0	2	0	1	0	2	2	0
FLJ35390	24	11	21	11	7	17	14	51	88	45	74
FLJ35424	86	282	170	109	6	100	15	78	211	127	133
FLJ35776	33	38	35	17	20	20	34	68	58	57	79
FLJ35946	16	9	22	12	7	12	6	61	21	13	23
FLJ36000	0	0	0	0	0	0	0	0	0	0	0
FLJ36777	7	10	14	5	1	3	8	3	15	12	7
FLJ37035	12	4	2	4	1	0	3	6	1	4	6
FLJ37201	6	4	7	1	1	4	1	5	1	2	3
FLJ37453	122	146	104	95	99	107	143	146	115	82	98
FLJ37505	0	0	0	0	0	0	0	0	0	0	0
FLJ38109	8	0	6	9	3	4	16	4	7	10	3
FLJ38576	8	5	9	11	6	8	1	6	6	4	12
FLJ39051	12	29	14	17	43	29	21	31	8	12	11
FLJ39080	0	0	0	0	0	0	0	0	0	0	0
FLJ39534	28	18	23	15	24	22	19	18	12	10	10
FLJ39639	10	15	8	2	8	12	5	21	29	32	10
FLJ39653	164	226	166	98	97	175	194	177	255	139	246
FLJ39739	4	7	8	5	2	7	3	8	2	3	1
FLJ40194	0	0	0	0	0	0	0	0	0	4	0
FLJ40288	0	0	0	0	0	0	0	0	0	0	0
FLJ40292	0	0	0	0	1	1	2	0	3	1	0
FLJ40434	0	0	0	0	0	0	0	1	0	0	0
FLJ40852	10	9	19	9	1	8	9	27	10	1	23
FLJ41200	0	2	0	0	0	0	0	13	10	8	5
FLJ41278	0	0	0	0	0	0	0	1	2	1	0
FLJ41350	0	0	0	0	0	0	0	0	0	0	0
FLJ41484	3	0	2	2	5	1	2	16	22	23	15
FLJ41649	1	0	0	1	0	1	1	2	0	0	0
FLJ41941	1	0	0	0	0	1	0	1	3	6	7
FLJ42102	0	0	0	0	0	0	0	0	0	0	0
FLJ42280	0	0	0	0	0	0	0	0	0	0	0
FLJ42289	18	16	7	3	5	17	13	10	20	15	15
FLJ42351	7	0	1	4	1	1	4	7	18	5	9
FLJ42393	0	0	2	1	0	2	0	0	4	1	0
FLJ42627	55	8	39	36	12	14	35	48	22	17	38
FLJ42709	77	87	79	87	93	34	81	79	25	32	11
FLJ42875	1971	862	1345	662	231	640	819	158	540	322	337
FLJ42969	0	1	0	0	0	0	0	0	0	0	0
FLJ43315	0	0	0	0	0	0	0	0	0	1	0
FLJ43390	11	7	0	4	3	3	5	3	0	6	8
FLJ43663	5	8	10	8	7	1	5	31	54	52	37
FLJ43681	0	1	0	3	0	0	0	0	0	0	0
FLJ43826	14	1	12	16	4	6	13	2	0	2	4
FLJ43860	1	0	1	0	0	1	0	3	0	1	1
FLJ43879	0	0	0	0	0	0	0	0	0	0	0
